pair_index,csim
1,0.023564549162983894
2,0.08891043066978455
3,-0.05099250376224518
4,0.07202721387147903
5,0.04721715301275253
6,0.02583828940987587
7,-0.12473983317613602
8,0.011523973196744919
9,0.02484775334596634
10,0.03847287595272064
11,-0.01283276453614235
12,0.08535732328891754
13,0.07340045273303986
14,-0.030639737844467163
15,0.019773127511143684
16,0.004522917792201042
17,0.0220057163387537
18,-0.016885943710803986
19,0.01784284971654415
20,-0.08476085960865021
21,0.04444759339094162
22,-0.014806012623012066
23,-0.04286794364452362
24,0.029172450304031372
25,-0.0520113930106163
26,0.04156865179538727
27,0.1166333556175232
28,0.06534378230571747
29,0.0173634085804224
30,0.04719693958759308
31,0.11021566390991211
32,0.0513019934296608
33,0.07071162760257721
34,-0.01953105628490448
35,-0.010911595076322556
36,0.12764990329742432
37,0.015845783054828644
38,-0.010540790855884552
39,-0.03584587946534157
40,-0.022961191833019257
41,-0.019625481218099594
42,0.07660786807537079
43,0.09329545497894287
44,-0.037492021918296814
45,-0.005333356559276581
46,-0.1694575548171997
47,0.05184656009078026
48,0.02538948506116867
49,0.07928954064846039
50,-0.03190641850233078
51,0.04863852262496948
52,-0.07782933115959167
53,-0.03577526658773422
54,-0.08731035888195038
55,-0.0961320549249649
56,-0.06464709341526031
57,0.0753663033246994
58,-0.08804851770401001
59,0.09980922937393188
60,-0.03991185501217842
61,0.02264571748673916
62,-0.053645145148038864
63,-0.0020120050758123398
64,-0.006559980101883411
65,0.060935698449611664
66,0.027162229642271996
67,-0.0012854598462581635
68,0.009727081283926964
69,0.055300675332546234
70,0.018666159361600876
71,-0.08976457267999649
72,0.003943116869777441
73,0.026546474546194077
74,-0.08408115804195404
75,0.15475445985794067
76,-0.034749262034893036
77,0.012318983674049377
78,-0.007572184316813946
79,-0.0594572015106678
80,-0.04960038512945175
81,0.1111992746591568
82,0.050723060965538025
83,0.02688591554760933
84,-0.007843507453799248
85,-0.03267000615596771
86,-0.013023041188716888
87,0.05899188667535782
88,-0.0004979334771633148
89,0.0027288743294775486
90,0.020966339856386185
91,0.03887564688920975
92,0.011235514655709267
93,0.02956477552652359
94,0.10120677947998047
95,-0.0727124810218811
96,-0.0010717976838350296
97,-0.050971709191799164
98,0.0285782553255558
99,0.02210449054837227
100,0.10706838965415955
