run_index,denoise_strength,blend_alpha,region_attn_scale,guidance_scale,num_inference_steps,csim,id_retrieval_top1,expression_error
15,0.25,0.65,1.2,1.0,20,0.03152980473358184,0.01,0.225728297829628
16,0.25,0.75,0.8,1.0,20,0.03086484126280993,0.02,0.2625722510367632
24,0.3,0.65,1.2,1.0,20,0.02830079548060894,0.02,0.23800103954970836
12,0.25,0.55,1.2,1.0,20,0.027289269505999983,0.01,0.18612468533217907
5,0.2,0.65,1.0,1.0,20,0.02658503453247249,0.0,0.20060928106307985
18,0.25,0.75,1.2,1.0,20,0.026019823160022496,0.01,0.27540408410131934
17,0.25,0.75,1.0,1.0,20,0.025945857060141863,0.01,0.28807348139584066
21,0.3,0.55,1.2,1.0,20,0.025903803184628486,0.01,0.20124464340507983
20,0.3,0.55,1.0,1.0,20,0.025027417317032813,0.01,0.20585087798535823
6,0.2,0.65,1.2,1.0,20,0.024024126380681993,0.0,0.19509053930640222
9,0.2,0.75,1.2,1.0,20,0.023928545857779683,0.02,0.24064396478235722
13,0.25,0.65,0.8,1.0,20,0.02282490300014615,0.01,0.2266278810799122
3,0.2,0.55,1.2,1.0,20,0.02270926147699356,0.0,0.16974214617162942
19,0.3,0.55,0.8,1.0,20,0.02243055176688358,0.0,0.2047853519767523
11,0.25,0.55,1.0,1.0,20,0.022012812993489207,0.02,0.18562420435249805
7,0.2,0.75,0.8,1.0,20,0.02128766163252294,0.01,0.23112909756600858
22,0.3,0.65,0.8,1.0,20,0.021151318862102926,0.01,0.28845395259559153
2,0.2,0.55,1.0,1.0,20,0.02108627924695611,0.0,0.16226801365613938
23,0.3,0.65,1.0,1.0,20,0.02087566512171179,0.02,0.24230002664029598
8,0.2,0.75,1.0,1.0,20,0.020208549383096398,0.0,0.22759787015616895
4,0.2,0.65,0.8,1.0,20,0.01938370119314641,0.0,0.23939589992165566
27,0.3,0.75,1.2,1.0,20,0.01852265551686287,0.01,0.30024138823151586
1,0.2,0.55,0.8,1.0,20,0.018447774942032993,0.01,0.1666496880352497
10,0.25,0.55,0.8,1.0,20,0.018191050584428013,0.01,0.18010503150522708
26,0.3,0.75,1.0,1.0,20,0.017903120638802648,0.02,0.29002627581357954
14,0.25,0.65,1.0,1.0,20,0.017752484320662915,0.01,0.2545872350037098
25,0.3,0.75,0.8,1.0,20,0.013209273805841804,0.02,0.28640644386410713
